"Claim ID","Exact supported claim","Direct statistic, finding, or short source excerpt","Source title","Publisher/author","Publication date","Original direct URL","Source category","Source tier","Methodology, sample, geography, and study period","Limitation or caveat","Evidence type","Relevant industry or industries","Relevant workflow","Relevant persona","Suggested use","Status"
"U-ECON-001","Billable utilization across professional services firms surveyed by SPI Research fell to 66.4% in 2025, the lowest in the survey's history and well below the 75% target.","Billable utilization fell to 66.4% in 2025, the lowest in SPI Research's survey history and well below the 75% target.","2025 Professional Services Benchmarks (summary of 2026 SPI PS Maturity Benchmark)","Deltek summarizing SPI Research","2026 (covering 2025 performance)","https://www.deltek.com/resources/articles/professional-services-benchmarks/","Research firm / vendor-sponsored benchmark","5 - Consultancy/research firm (use as benchmark hypothesis; Deltek-sponsored)","SPI Research Professional Services Maturity Benchmark; 2026 report surveyed over 500 firms worldwide representing >245,000 employees and $63B PS revenue; 19th year; performance year 2025.","Self-selected survey of firms participating in SPI/Deltek ecosystem; worldwide mix may not match U.S. SMB 20–200 employee firms; Deltek sponsorship creates potential conflict; utilization definition may vary by firm; not causal.","Descriptive (survey benchmark)","All professional services (cross-industry)","Delivery capacity; capacity planning; Delivery-to-Executive Insight","COO; Managing Partner/CEO; CFO; Practice Leader","Playbook chapter on PS economics; assessment baseline; persona landing (COO/CFO)","verified"
"U-ECON-002","EBITDA held nearly flat at 9.9% in 2025 versus 9.8% in 2024 among SPI-surveyed professional services firms.","EBITDA held nearly flat at 9.9%, essentially unchanged from 9.8% in 2024","2025 Professional Services Benchmarks","Deltek / SPI Research","2026","https://www.deltek.com/resources/articles/professional-services-benchmarks/","Research firm / vendor-sponsored benchmark","5 - Consultancy/research firm (sponsored)","SPI PS Maturity Benchmark 2026; >500 firms worldwide; 2025 performance.","Survey self-selection; EBITDA definitions may vary; sponsored; not causal; may not generalize to all SMB PS firms.","Descriptive (survey benchmark)","All professional services","Delivery-to-Executive Insight; margin management","CFO; Managing Partner/CEO","Playbook economics chapter; CFO persona page","verified"
"U-ECON-003","Revenue growth among SPI-surveyed professional services firms improved to 5.2% in 2025 from 4.6% in 2024, remaining below SPI's stated 10% 'healthy' rate and the five-year average of 8.0%.","Revenue growth improved to 5.2% in 2025, up from 4.6% in 2024... five-year average of 8.0%","2025 Professional Services Benchmarks","Deltek / SPI Research","2026","https://www.deltek.com/resources/articles/professional-services-benchmarks/","Research firm / vendor-sponsored benchmark","5 - Consultancy/research firm (sponsored)","SPI PS Maturity Benchmark; >500 firms worldwide; 2025 vs 2024.","'Healthy' 10% is SPI normative judgment not external standard; growth rates are averages across heterogeneous firm types; sponsored.","Descriptive (survey benchmark)","All professional services","Growth operations; Proposal-to-Project","Managing Partner/CEO; CFO","Playbook economics; CEO persona triggers","verified"
"U-ECON-004","SPI Research reports Level 5 (highest maturity) professional services firms outperform Level 2 peers by +433% revenue growth, +265% higher EBITDA, and +36.4% more billable utilization (comparative benchmark claim on SPI product page).","Level 5 firms outperform Level 2 peers by: +433% revenue growth; +265% higher EBITDA; +36.4% more billable utilization","2025 PS Maturity Benchmark™","Service Performance Insight (SPI Research)","2025 report page","https://spiresearch.com/reports/2025-ps-maturity-benchmark/","Research firm product page","5 - Research firm (self-published comparative claim; treat carefully)","SPI states 2025 benchmark sample of 403 PS organizations, >150,000 consultants (product page); maturity model comparison Level 5 vs Level 2.","Relative % outperformance can be misread as absolute points; sample and definitions not fully transparent on product page; maturity and performance may be confounded (better firms score higher maturity); strong selection/survivorship risk; do not present as causal effect of 'maturity practices' without full methodology.","Correlational / descriptive benchmark","All professional services","Operating maturity; capacity; knowledge systems","COO; Managing Partner/CEO","Internal methodology hypothesis only; not sole support for ROI claims","candidate"
"U-ECON-005","U.S. BLS defines NAICS 54 Professional, Scientific, and Technical Services as establishments that specialize in performing professional, scientific, and technical activities for others, requiring a high degree of expertise and training.","These activities require a high degree of expertise and training.","Professional, Scientific, and Technical Services: NAICS 54","U.S. Bureau of Labor Statistics","Industry page (data extracted context 2026)","https://www.bls.gov/iag/tgs/iag54.htm","Government agency / public dataset","1 - Government","U.S. industry classification; BLS industry at a glance for NAICS 54.","Definitional, not a performance metric; includes large enterprises and many subsectors beyond target 20–200 firm size.","Descriptive","All NAICS 54 professional services","Universal framing","All","Playbook definition of market; assessment scope language","verified"
"U-ECON-006","Labor productivity increased in 24 of 31 selected U.S. service-providing industries from 2019 to 2024 (BLS preliminary data).","Labor productivity increased in 24 of 31 selected service-providing industries from 2019 to 2024.","Labor productivity business cycle trends in selected service-providing industries","U.S. Bureau of Labor Statistics","July 25, 2025","https://www.bls.gov/opub/ted/2025/labor-productivity-business-cycle-trends-in-selected-service-providing-industries.htm","Government agency / public dataset","1 - Government","BLS labor productivity; N=31 selected service-providing industries; United States; 2019–2024; preliminary data.","Preliminary and may be revised; not all 31 are professional services; industry-level not firm-level; does not measure AI contribution.","Descriptive","Service-providing industries (U.S.)","Productivity / capacity framing","CFO; Managing Partner/CEO","Macro context only; not AI-specific ROI","verified"
"U-AI-001","In a preregistered online experiment, ChatGPT substantially raised productivity on mid-level professional writing tasks: average time taken decreased by 40% and output quality rose by 18% (Science; N=453 college-educated professionals).","The average time taken decreased by 40% and output quality rose by 18%.","Experimental evidence on the productivity effects of generative artificial intelligence","Shakked Noy; Whitney Zhang (MIT) — Science","July 2023 (Science 381)","https://www.science.org/doi/10.1126/science.adh2586","Peer-reviewed academic research","2 - Academic peer-reviewed","Preregistered online experiment; N=453 college-educated professionals; occupation-specific incentivized writing tasks; half randomly exposed to ChatGPT; occupations included marketers, grant writers, consultants, data analysts, HR professionals, managers. Working paper version also reports N≈444, time −0.8 SD / quality +0.4 SD; time drop ~10 minutes (37%) vs control ~27 minutes.","Controlled writing tasks, not full client engagements; short horizon; geography not fully specified; quality graded by evaluators on task outputs; results may not generalize to regulated professional advice, multi-party client work, or firm systems with confidentiality constraints. Causal within experiment design.","Causal (RCT)","Cross-industry knowledge work (writing-intensive roles)","Knowledge-to-Delivery (drafting); Proposal-to-Project (drafting)","Practice Leader; COO; Managing Partner/CEO","Playbook AI productivity chapter; assessment evidence; social post with caveats","approved"
"U-AI-002","In the Noy/Zhang experiment, inequality between workers decreased with ChatGPT access; exposed workers were about 2× as likely to report using ChatGPT in their real job two weeks later and 1.6× as likely two months later.","Inequality between workers decreased... 2 times as likely... 1.6 times as likely","Experimental evidence on the productivity effects of generative artificial intelligence","Noy & Zhang — Science","July 2023","https://www.science.org/doi/10.1126/science.adh2586","Peer-reviewed academic research","2 - Academic peer-reviewed","Same RCT; N=453; follow-up self-report adoption at 2 weeks and 2 months.","Adoption is self-reported; inequality reduction is within experimental task performance, not firm compensation; short follow-up.","Causal (RCT) + descriptive follow-up","Cross-industry knowledge work","Knowledge-to-Delivery; onboarding / skill leveling","Practice Leader; COO","Playbook on knowledge reuse and junior leverage","approved"
"U-AI-003","In a preregistered field experiment with 758 BCG consultants (~7% of individual-contributor consultants), GPT-4 access on tasks within AI capability frontier increased tasks completed by 12.2%, speed by 25.1%, and quality by more than 40% versus control.","completed 12.2% more tasks on average, and completed tasks 25.1% more quickly, and produced significantly higher quality results (more than 40% higher quality compared to a control group)","Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of AI on Knowledge Worker Productivity and Quality","Dell'Acqua, McFowland, Mollick, Lifshitz-Assaf, Kellogg, Rajendran, Krayer, Candelon, Lakhani (HBS / BCG)","September 2023 (SSRN / HBS)","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4573321","Academic working paper / field experiment (not necessarily journal peer-reviewed at release)","2 - Academic working paper with transparent methods (BCG collaboration — note industry partner)","Preregistered field experiment; N=758 consultants at Boston Consulting Group; random assignment to no AI, GPT-4, or GPT-4 + prompt overview; realistic consulting tasks; Sept 2023 working paper.","Single elite global firm (BCG) — limited generalizability to mid-market 20–200 employee firms; tasks designed for experiment; 'outside the frontier' tasks showed quality degradation when AI used inappropriately (jagged frontier); BCG/HBS collaboration; quality metric is study-defined. Causal within design.","Causal (field RCT)","Management consulting (primary); transferable hypothesis to other knowledge PS","Knowledge-to-Delivery; research support; drafting; quality review","Practice Leader; COO; Managing Partner/CEO","Playbook core evidence; MUST pair with jagged-frontier caveat and outside-frontier risk","approved"
"U-AI-004","The Dell'Acqua et al. study documents a 'jagged technological frontier': AI improves performance on some knowledge tasks but can reduce quality on tasks outside AI capabilities when consultants rely on it inappropriately.","jagged technological frontier — some tasks easily done by AI, while it cannot do others of similar difficulty","Navigating the Jagged Technological Frontier","Dell'Acqua et al. (HBS/BCG)","September 2023","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4573321","Academic field experiment","2 - Academic","Same N=758 BCG field experiment; tasks designed inside and outside AI capability frontier.","Frontier boundary is model- and task-specific and shifts over time; findings tied to GPT-4 era capabilities.","Causal (field RCT)","Management consulting; all knowledge PS","Quality review; human accountability; Knowledge-to-Delivery","Risk/GC; Practice Leader; COO; CIO","Playbook governance and quality chapters; assessment items on human review","approved"
